seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
50,4,81,119,46,3,20.379290103912354
51,1,-15,99,-29,0,10.109883785247803
51,2,111,89,2,2,9.209041833877563
51,3,109,91,10,2,10.207886219024658
51,4,91,109,32,3,17.601274013519287
52,1,125,75,10,1,7.691306829452515
52,2,118,82,43,1,8.512458801269531
52,3,125,75,10,1,8.744840145111084
52,4,110,90,23,1,15.451027154922485
53,1,85,115,2,2,11.721951007843018
53,2,92,104,-1,1,10.766348600387573
53,3,102,98,31,2,11.383663177490234
53,4,93,107,0,2,20.299755096435547
54,1,-92,140,28,1,14.25016450881958
54,2,37,131,7,1,13.461411476135254
54,3,100,100,28,1,11.19874358177185
54,4,85,115,27,2,18.902467727661133
55,1,114,86,47,2,8.819718599319458
55,2,92,104,27,1,10.677415370941162
55,3,138,62,8,0,7.0484538078308105
55,4,106,94,29,1,14.257045984268188
56,1,-26,134,19,1,13.647026062011719
56,2,42,126,31,2,12.96189546585083
56,3,58,130,3,1,14.330030918121338
56,4,90,110,33,2,19.720513343811035
57,1,7,181,-3,3,18.40085005760193
57,2,-6,198,-2,3,20.27158832550049
57,3,-30,206,-2,4,22.700372219085693
57,4,10,182,-2,3,28.696125030517578
58,1,80,120,33,2,12.231003761291504
58,2,-2,158,21,2,16.24363946914673
58,3,50,130,5,1,14.364948272705078
58,4,82,118,9,1,20.54899764060974
59,1,84,100,34,1,10.21054220199585
59,2,82,110,-2,1,11.368363857269287
59,3,88,112,12,2,12.650135278701782
59,4,92,108,4,2,18.657480001449585
60,1,-8,112,42,1,11.450654983520508
60,2,20,140,-2,1,14.367149353027344
60,3,74,126,24,3,14.138982057571411
60,4,106,94,18,1,16.351053953170776
61,1,-111,115,-49,1,11.729052066802979
61,2,95,105,3,1,10.841886758804321
61,3,63,137,1,3,15.827468395233154
61,4,81,119,3,1,20.92894220352173
62,1,100,76,-6,0,7.791012763977051
62,2,134,66,4,0,6.895148754119873
62,3,138,62,8,0,7.39681601524353
62,4,147,53,17,0,14.192907094955444
63,1,-26,138,-22,2,14.04012417793274
63,2,84,116,8,1,11.920219898223877
63,3,72,128,18,4,14.530930757522583
63,4,83,113,-1,1,19.011779069900513
64,1,35,165,4,2,16.766544818878174
64,2,13,187,4,3,19.137224197387695
64,3,71,129,8,2,14.586219549179077
64,4,91,109,8,1,19.66070008277893
65,1,55,85,-15,0,8.698988199234009
65,2,116,84,34,1,8.683637619018555
65,3,119,81,27,1,9.171425580978394
65,4,89,111,37,3,19.52130889892578
66,1,15,185,2,3,18.788766622543335
66,2,5,195,2,4,19.98483657836914
66,3,-9,209,6,4,23.12748670578003
66,4,21,179,26,5,32.34740114212036
