seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
59,5,92,108,12,1,41.146766662597656
59,6,58,118,18,1,181.10834407806396
60,1,-8,112,42,1,11.590007066726685
60,2,14,122,24,1,12.717631816864014
60,3,62,106,32,1,11.88189148902893
60,4,102,98,32,2,14.975770711898804
60,5,78,122,24,2,42.94982886314392
60,6,102,98,32,1,189.71970677375793
61,1,-111,115,-49,1,11.82770824432373
61,2,33,143,19,2,14.681389570236206
61,3,64,120,-4,2,12.970183372497559
61,4,67,133,43,2,17.509915590286255
61,5,81,119,3,2,41.0740430355072
61,6,11,117,31,1,186.1850929260254
62,1,100,76,-6,0,7.8305983543396
62,2,94,106,22,1,10.940150260925293
62,3,134,66,4,0,7.509251356124878
62,4,136,64,6,0,10.939786195755005
62,5,144,56,14,0,39.67500305175781
62,6,134,66,4,0,196.5138304233551
63,1,-26,138,-22,2,14.283531665802002
63,2,-23,135,17,1,13.891439437866211
63,3,88,112,8,2,12.112118482589722
63,4,58,134,-2,2,17.70563530921936
63,5,82,118,18,2,36.3216028213501
63,6,59,109,29,1,156.6502342224121
64,1,35,165,4,2,16.868541479110718
64,2,29,159,8,2,16.32785940170288
64,3,55,145,12,3,15.488614559173584
64,4,45,155,4,2,19.52858853340149
64,5,89,111,8,1,35.926785707473755
64,6,67,121,12,1,162.28535842895508
65,1,55,85,-15,0,8.742969036102295
65,2,108,92,30,1,9.478915929794312
65,3,87,97,37,1,10.488343477249146
65,4,85,79,-9,0,11.178711652755737
65,5,121,79,37,1,28.390177011489868
65,6,59,101,39,1,139.22334218025208
66,1,15,185,2,3,18.859655380249023
66,2,15,185,2,3,18.97612166404724
66,3,-19,219,6,5,23.18375277519226
66,4,71,129,26,2,17.557663202285767
66,5,41,159,18,3,48.13972091674805
66,6,77,123,30,2,191.46195077896118
67,1,-20,100,-30,0,10.258916139602661
67,2,91,109,8,1,11.240204095840454
67,3,86,114,11,2,12.351683378219604
67,4,86,110,-1,2,15.388664484024048
67,5,86,110,-1,2,39.33249306678772
67,6,86,114,11,2,163.63255167007446
68,1,64,136,33,5,13.90962815284729
68,2,81,119,46,2,12.279780864715576
68,3,59,141,46,5,15.092918872833252
68,4,103,97,16,1,13.420224666595459
68,5,99,101,16,2,32.717705488204956
68,6,78,102,33,1,129.0049660205841
69,1,-75,111,-41,0,11.426356792449951
69,2,-43,127,32,1,13.099776268005371
69,3,-11,119,34,1,12.653927087783813
69,4,69,131,34,2,15.773040294647217
69,5,79,121,4,1,29.94819664955139
69,6,50,98,45,1,112.17961692810059
70,1,-90,114,-44,0,11.68103289604187
70,2,-8,160,-2,2,16.479568243026733
70,3,-24,128,26,1,14.13883376121521
70,4,37,147,41,2,20.80770444869995
70,5,48,152,38,3,53.167327880859375
70,6,-24,128,26,1,241.47823476791382
71,1,-46,154,-23,2,15.720302820205688
71,2,-144,172,1,1,17.63643527030945
71,3,70,130,1,2,14.091062307357788
71,4,2,198,1,3,25.201499223709106
71,5,24,176,19,3,49.519676208496094
71,6,-88,156,7,1,215.07805180549622
72,1,38,162,6,3,16.588361740112305
72,2,28,156,-4,2,16.107765436172485
