seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
60,4,106,94,18,1,18.339085578918457
60,5,89,111,1,1,72.99052858352661
61,1,-111,115,-49,1,11.737995386123657
61,2,95,105,3,1,10.927919149398804
61,3,63,137,1,3,16.52804207801819
61,4,81,119,3,1,23.856749773025513
61,5,62,138,10,3,119.55163788795471
62,1,100,76,-6,0,7.839554786682129
62,2,134,66,4,0,6.97226357460022
62,3,138,62,8,0,7.917370796203613
62,4,147,53,17,0,17.312432527542114
62,5,144,56,14,0,69.11033058166504
63,1,-26,138,-22,2,14.090384721755981
63,2,84,116,8,1,12.021113872528076
63,3,72,128,18,4,15.11797046661377
63,4,83,113,-1,1,21.168243408203125
63,5,103,93,-1,1,71.82088613510132
64,1,35,165,4,2,16.828892469406128
64,2,13,187,4,3,19.19992685317993
64,3,71,129,8,2,15.009449243545532
64,4,91,109,8,1,22.068474531173706
64,5,91,109,8,1,75.8609402179718
65,1,55,85,-15,0,8.719656705856323
65,2,116,84,34,1,8.740572452545166
65,3,119,81,27,1,9.478944778442383
65,4,89,111,37,3,22.691328763961792
65,5,111,89,39,1,55.94853711128235
66,1,15,185,2,3,18.891144037246704
66,2,5,195,2,4,20.156927347183228
66,3,-9,209,6,4,24.070614337921143
66,4,21,179,26,5,37.880300998687744
66,5,81,103,-4,1,100.94105315208435
67,1,-20,100,-30,0,10.330432415008545
67,2,86,114,11,2,11.858337640762329
67,3,82,114,-1,3,13.480373620986938
67,4,86,110,-1,2,23.960070610046387
67,5,98,98,-1,1,70.98202419281006
68,1,64,136,33,5,13.878466129302979
68,2,103,97,16,1,10.060359239578247
68,3,101,99,20,3,11.641457080841064
68,4,91,109,52,2,18.720874071121216
68,5,87,113,20,3,75.10815668106079
69,1,-75,111,-41,0,11.327893257141113
69,2,63,137,4,2,14.068291425704956
69,3,75,125,4,1,13.74939775466919
69,4,91,109,20,2,17.953547954559326
69,5,81,119,20,2,53.63825869560242
70,1,-90,114,-44,0,11.661396741867065
70,2,18,166,26,2,17.137628078460693
70,3,-24,160,26,2,18.661742210388184
70,4,48,152,38,3,33.01623892784119
70,5,63,125,-3,1,101.59031367301941
